Name,Image,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,Serial ID,Internal ID,Unique Entry ID
acorn pochette,,6,acorn,,,,,,,,,,,NFS,200,NA,NA,Balloons,,acorns and pine cones,Yes,1.0.0,Yes,0,Equipment,7492,brown,BagShoulderAcorn0,4682,632,a9FFbP64fTcJ3Cn5E
acoustic guitar,,8,softwood,3,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Housewares,383,brown,FtrAcorsticguitar,406,44,Y62RymJYgbmZEyQon
angled signpost,,2,hardwood,3,softwood,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,100,Housewares,7867,brown,FtrSignpostTilt,440,510,BNiDaivRjGNzCckWw
apple chair,,10,apple,4,wood,,,,,,,,,NFS,200,NA,NA,Big Sister villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is apples,NA,NA,1.0.0,Yes,100,Housewares,4134,red,FtrFruitsChairApple,1700,189,HB55bMQf4D57ekNf4
apple dress,,8,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Equipment,9836,red,TopsTexOnepieceAlineNApple0,1782,621,KmfTvhh3qeyd6WcFJ
apple hat,,5,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Equipment,9871,red,CapHatApple0,1781,622,5ABmQxkN3SatETcEg
apple rug,,6,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Rugs,7327,red,RugOtherAppleM00,1770,542,5noTnXTTPzBfbsaz2
apple umbrella,,7,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Equipment,9948,red,UmbrellaApple0,1780,623,N2aQCn6hYqjw2ijPX
apple wall,,20,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4916,red,RoomTexWallApple00,1750,304,7azjirioafcXyzPHB
Aquarius urn,,3,star fragment,2,Aquarius fragment,2,gold nugget,5,stone,,,,,NFS,200,NA,NA,Celeste,,Aquarius,Yes,1.0.0,Yes,0,Housewares,5956,silver,FtrZodiacAquarius,2310,366,NGfmzz4ndL9MvLG2F
Aries rocking chair,,3,star fragment,2,Aries fragment,1,gold nugget,5,stone,,,,,NFS,200,NA,NA,Celeste,,Aries,Yes,1.0.0,Yes,0,Housewares,5954,silver,FtrZodiacAries,2300,367,XXJwFRCG4m9Q4xe6y
armor shoes,,4,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Equipment,5472,dark gray,ShoesKneeKnightIron,982,642,zbzh6s369wZ3anypo
aroma pot,,3,clay,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,1753,brick,FtrAlomapot,704,30,BTu3bRj64f2dwdDXa
asteroid,,5,star fragment,10,stone,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,1439,silver,FtrMeteo,2203,235,BPNHraJWRXYZahLoJ
astronaut suit,,5,star fragment,5,iron nugget,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,1445,silver,FtrSpacesuit,2220,236,sczENjHH7XW8e2n3Q
autumn wall,,10,maple leaf,5,wood,5,clump of weeds,,,,,,,NFS,200,NA,NA,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Wallpaper,4905,brown,RoomSpWallAutumun00,4650,290,vjyWT27sydFDoYjhF
axe,,1,flimsy axe,3,wood,1,iron nugget,,,,,,,NFS,200,NA,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,NA,NA,1.0.0,Yes,0,Tools,2100,beige,ToolAxe,102,271,b3QE9sXE7w5KCXkS5
backyard lawn,,30,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Floors,4979,green,RoomTexFloorLawn00,1261,487,pCoJi3w8hqsWKsBvz
bamboo basket,,7,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,3658,green,FtrBambooBasket,2409,152,y7Zjyax97JJo6k4oJ
bamboo bench,,8,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,50,Housewares,710,green,FtrBambooChairL,2401,46,iRBcw227DDdksTz3J
bamboo candleholder,,3,bamboo piece,2,clay,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,3554,green,FtrBambooCandle,2402,153,9FCcnLSsxLXkR2NEA
bamboo doll,,6,young spring bamboo,,,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Housewares,3555,green,FtrBambooSurprisedbox,3000,158,gc6yP5HuqTxEGBK48
bamboo drum,,3,bamboo piece,2,softwood,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,4093,green,FtrBamboodrum,2413,397,K5pwygoJtxAXbj7db
bamboo floor lamp,,8,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,50,Housewares,3557,green,FtrBambooLamp,2410,159,47AeakgHNdNvSvLRb
bamboo flooring,,15,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Floors,4964,green,RoomTexFloorBamboo00,2460,485,JyK3oMGwWg46SZ7M6
bamboo hat,,10,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Equipment,5143,green,CapHatAjiroBeige,1284,607,p6dWvgRwv6574A7md
bamboo lattice fence,,6,bamboo piece,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,3403,green,ItemFenceBamboo,2490,101,kFi2XW9eoPkAoWdS5
bamboo lunch box,,4,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,5978,green,FtrBambooLunch,2406,421,ejw8RfXvq8vPJuLod
bamboo noodle slide,,7,young spring bamboo,3,wood,,,,,,,,,NFS,200,NA,NA,Balloons; Isabelle,,young spring bamboo,Yes,1.0.0,Yes,0,Housewares,5979,green,FtrBambooSomen,3002,424,P9SmzDkYdcYuPmRop
bamboo partition,,7,bamboo piece,6,stone,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Housewares,3553,green,FtrBambooScreen,2403,157,6B3A3RrMHHYeGnDR4
bamboo shelf,,15,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,3551,green,FtrBambooShelf,2405,155,ATFSAKswogCggcGbd
bamboo speaker,,3,bamboo piece,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,10743,green,FtrBambooMusic,2411,591,59rwk7hPFaeWEX7AY
bamboo sphere,,3,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,5976,green,FtrBambooBall,2404,420,4DSiABqB4KvShtQdM
bamboo stool,,5,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,10742,green,FtrBambooStool,2400,590,cSywc8qQTGtF5PTqT
bamboo stopblock,,3,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,50,Housewares,3556,green,FtrBambooCarstop,2412,154,g6cSM6je3YN47KiMD
bamboo wall,,15,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Wallpaper,4833,green,RoomTexWallBamboo00,2450,322,BYCNmo3a3HZQXWqHK
bamboo wall decoration,,1,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3558,green,FtrBambooFlowerwall,2430,151,Xb2ywJv5tsDeSKG2H
bamboo wand,,6,young spring bamboo,3,star fragment,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Tools,7590,green,ToolStickBamboo,3090,538,Z5FSewP6wM2McqRCJ
bamboo-grove wall,,7,young spring bamboo,3,bamboo shoot,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Wallpaper,4853,green,RoomTexWallChikurin00,3051,300,YEqTcFmBecj7pp4XX
bamboo-shoot lamp,,4,young spring bamboo,5,bamboo shoot,4,clay,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Miscellaneous,5977,green,FtrBambooshootLamp,3004,385,kdfzcoLwkhis8mbtR
barbed-wire fence,,4,hardwood,2,iron nugget,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,5213,brown,ItemFenceBarbedWire,585,561,dgW8J3q4JWsyyrDxP
barbell,,10,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Housewares,4078,dark gray,FtrBarbell,914,395,A3fKpbNzYnRZwYMbx
barrel,,5,wood,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Cranky villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,1266,brown,FtrPirateBarrel,431,165,QBxsHQZ8DpGYE7d8S
basement flooring,,10,stone,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Floors,4797,light gray,RoomTexFloorBasement00,860,474,RdpaWYGrZLzQWtKDJ
basket pack,,6,young spring bamboo,,,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Equipment,7506,green,BagBackpackBasket0,3080,645,j2a3p7Gtpy8fW2Z5S
beekeeper's hive,,3,wasp nest,5,wood,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Housewares,3406,orange,FtrBeekeepingbox,2000,204,nxtm2DdtRcHzAyrZX
big festive tree,,6,red ornament,6,blue ornament,4,gold ornament,5,wood,5,clay,,,NFS,200,NA,NA,Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,3966,white,FtrTreeXmasL,7404,273,xArzFHH3vK5tq4r6y
birdbath,,6,stone,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,331,light gray,FtrBirdbus,802,42,73BAmDLcYdhSDnHLR
