Name,Type,Version Added,Availability,Northern Hemisphere Dates,Southern Hemisphere Dates,2020 Dates,2021 Dates,Display Name,Internal Label,Unlock Date,Unlock Method,Unique Entry ID
young spring bamboo,Crafting season,1.0.0,Every year,February 25 – May 21,August 25 – November 30,NA,NA,young spring bamboo,NA,2020-03-20,No,B4yFhfZgohc6mpGye
cherry-blossom petals,Crafting season,1.0.0,Every year,April 1 – April 10,October 1 – October 10,NA,NA,cherry-blossom petals,NA,2020-03-20,No,Xo3c8z7JTrEth4NW7
summer shells,Crafting season,1.0.0,Every year,June 1 – August 31,December 1 – February 29,NA,NA,summer shells,NA,2020-03-20,No,sjovDaZqkh4jafozk
acorns and pine cones,Crafting season,1.0.0,Every year,September 1 – December 10,March 1 – June 10,NA,NA,acorns and pine cones,NA,2020-03-20,No,Rj8eWkGTM5STPvprt
mushrooms,Crafting season,1.0.0,Every year,November 1 – November 30,May 1 – May 31,NA,NA,mushrooms,NA,2020-03-20,No,hAE9QzEyaKskMpTfw
maple leaves,Crafting season,1.0.0,Every year,November 16 – November 25,May 16 – May 25,NA,NA,maple leaves,NA,2020-03-20,No,2pHZfthLCYjYxEGXJ
snowflakes,Crafting season,1.0.0,Every year,December 11 – February 24,June 11 – August 24,NA,NA,snowflakes,NA,2020-03-20,No,owiAqbhvj8Ej62yer
ornaments,Crafting season,1.0.0,Every year,December 15 – January 6,December 15 – January 6,NA,NA,ornaments,NA,2020-03-20,No,hMjjfnZoboSEfX6kN
Aries,Zodiac season,1.0.0,Every year,March 21 – April 19,March 21 – April 19,NA,NA,Aries,NA,2020-03-20,No,x8ieT7oBnYmXxDq7A
Taurus,Zodiac season,1.0.0,Every year,April 20 – May 20,April 20 – May 20,NA,NA,Taurus,NA,2020-03-20,No,zhNANPmM76brtTv8z
Gemini,Zodiac season,1.0.0,Every year,May 21 – June 21,May 21 – June 21,NA,NA,Gemini,NA,2020-03-20,No,vKNjJizgqpQfBgf5y
Cancer,Zodiac season,1.0.0,Every year,June 22 – July 22,June 22 – July 22,NA,NA,Cancer,NA,2020-03-20,No,d7jo5yXDsHr7ZPSn7
Leo,Zodiac season,1.0.0,Every year,July 23 – August 22,July 23 – August 22,NA,NA,Leo,NA,2020-03-20,No,TKcZ9NSsgrFpDgsa8
